scale,F,df1,df2,p,np2,BF10,BF01
ENGAGE,2.5921501706484644,3,56,0.06166006473006741,0.12193294624461509,1.1292097076371048,0.8855751002110327
SUQ,2.2669819028407407,3,56,0.09065478359277164,0.10829368302967003,0.8243244632414332,1.2131145496613922
BSMARS,1.0652634125688016,3,56,0.37122459662661444,0.0539867822504506,0.25621255798355425,3.903009313322526
