folder_id,task,interrupt,measure,n_trials,accuracy
304,PM,youtube,pre,14,0.9285714285714286
305,LD,youtube,post,160,0.94375
305,LD,youtube,pre,160,0.98125
305,PM,youtube,post,14,1.0
305,PM,youtube,pre,14,0.9285714285714286
306,LD,youtube,post,160,0.99375
306,LD,youtube,pre,160,0.99375
306,PM,youtube,post,14,1.0
306,PM,youtube,pre,14,0.9285714285714286
307,LD,youtube,post,160,0.9875
307,LD,youtube,pre,160,0.99375
307,PM,youtube,post,14,1.0
307,PM,youtube,pre,14,0.9285714285714286
308,LD,youtube,post,160,0.96875
308,LD,youtube,pre,160,0.975
308,PM,youtube,post,14,0.35714285714285715
308,PM,youtube,pre,14,0.9285714285714286
309,LD,youtube,post,160,0.96875
309,LD,youtube,pre,160,0.99375
309,PM,youtube,post,14,1.0
309,PM,youtube,pre,14,0.8571428571428571
310,LD,youtube,post,160,0.025
310,LD,youtube,pre,159,0.012578616352201259
310,PM,youtube,post,14,0.9285714285714286
310,PM,youtube,pre,14,0.8571428571428571
311,LD,youtube,post,160,0.9875
311,LD,youtube,pre,160,0.9875
311,PM,youtube,post,14,1.0
311,PM,youtube,pre,14,0.9285714285714286
312,LD,youtube,post,159,1.0
312,LD,youtube,pre,158,0.9936708860759493
312,PM,youtube,post,14,1.0
312,PM,youtube,pre,14,0.9285714285714286
313,LD,youtube,post,160,1.0
313,LD,youtube,pre,159,0.9874213836477987
313,PM,youtube,post,14,0.35714285714285715
313,PM,youtube,pre,13,0.23076923076923078
314,LD,youtube,post,156,0.9102564102564102
314,LD,youtube,pre,158,0.9556962025316456
314,PM,youtube,post,14,1.0
314,PM,youtube,pre,13,0.7692307692307693
315,LD,youtube,post,160,0.99375
315,LD,youtube,pre,160,0.9625
315,PM,youtube,post,14,0.8571428571428571
315,PM,youtube,pre,14,0.6428571428571429
401,LD,twitter,post,159,0.9874213836477987
401,LD,twitter,pre,160,0.9625
401,PM,twitter,post,14,1.0
401,PM,twitter,pre,13,0.9230769230769231
402,LD,twitter,post,160,0.9875
402,LD,twitter,pre,160,0.9875
402,PM,twitter,post,14,1.0
402,PM,twitter,pre,14,0.8571428571428571
403,LD,twitter,post,160,0.96875
403,LD,twitter,pre,160,0.99375
403,PM,twitter,post,14,1.0
403,PM,twitter,pre,14,0.7857142857142857
404,LD,twitter,post,160,0.9625
404,LD,twitter,pre,160,0.975
404,PM,twitter,post,14,0.9285714285714286
404,PM,twitter,pre,14,0.9285714285714286
405,LD,twitter,post,160,0.99375
405,LD,twitter,pre,160,0.99375
405,PM,twitter,post,14,1.0
405,PM,twitter,pre,14,0.9285714285714286
406,LD,twitter,post,160,0.98125
406,LD,twitter,pre,160,0.99375
406,PM,twitter,post,14,0.9285714285714286
406,PM,twitter,pre,14,0.8571428571428571
407,LD,twitter,post,160,0.98125
407,LD,twitter,pre,160,0.9875
407,PM,twitter,post,14,0.9285714285714286
407,PM,twitter,pre,14,0.8571428571428571
408,LD,twitter,post,160,0.9875
408,LD,twitter,pre,160,0.99375
408,PM,twitter,post,14,1.0
408,PM,twitter,pre,14,0.9285714285714286
409,LD,twitter,post,160,0.96875
409,LD,twitter,pre,159,0.9937106918238994
409,PM,twitter,post,14,1.0
409,PM,twitter,pre,14,0.8571428571428571
410,LD,twitter,post,160,1.0
410,LD,twitter,pre,160,0.9875
410,PM,twitter,post,14,1.0
410,PM,twitter,pre,14,0.9285714285714286
411,LD,twitter,post,160,0.975
411,LD,twitter,pre,160,1.0
411,PM,twitter,post,14,0.9285714285714286
411,PM,twitter,pre,14,0.7857142857142857
412,LD,twitter,post,160,0.96875
412,LD,twitter,pre,160,1.0
412,PM,twitter,post,14,1.0
412,PM,twitter,pre,14,0.7857142857142857
413,LD,twitter,post,160,0.96875
413,LD,twitter,pre,160,1.0
413,PM,twitter,post,14,1.0
413,PM,twitter,pre,14,0.7857142857142857
414,LD,twitter,post,160,0.975
414,LD,twitter,pre,160,0.98125
414,PM,twitter,post,14,1.0
414,PM,twitter,pre,14,0.9285714285714286
415,LD,twitter,post,160,0.9875
415,LD,twitter,pre,160,0.9875
415,PM,twitter,post,14,0.9285714285714286
415,PM,twitter,pre,14,0.7857142857142857
