task,parameter,effect,method,shapiro_p,df1,df2,F,p,effect_size,effect_size_kind
PM,drift,interrupt,ART,0.0002451602450284721,3,56,4.613818613607689,0.005916577879614354,0.15303829815670691,partial omega^2
PM,drift,measure,ART,0.0002451602450284721,1,56,0.9622884377315356,0.3308301331830268,-0.000628921331240157,partial omega^2
PM,drift,interaction,ART,0.0002451602450284721,3,56,8.78894534105002,7.20703915577809e-05,0.28028934691321794,partial omega^2
PM,noise,interrupt,ART,0.011779824940633489,3,56,5.438829121048106,0.0023597113235034376,0.18163018772552955,partial omega^2
PM,noise,measure,ART,0.011779824940633489,1,56,5.580797697766033,0.0216586389628743,0.07093126534614624,partial omega^2
PM,noise,interaction,ART,0.011779824940633489,3,56,3.615870925376474,0.018547850950689164,0.11566527479785432,partial omega^2
PM,bound,interrupt,ART,2.5894962588980397e-07,3,56,2.8963968149725106,0.0430442124705922,0.08660771135074498,partial omega^2
PM,bound,measure,ART,2.5894962588980397e-07,1,56,1.898435184451707,0.17373485477005718,0.014753009362728109,partial omega^2
PM,bound,interaction,ART,2.5894962588980397e-07,3,56,1.21223931107311,0.313753251892012,0.010500534245942578,partial omega^2
PM,nondectime,interrupt,ART,0.00014095314920143347,3,56,1.633190385957915,0.19199386642855576,0.030687953443634095,partial omega^2
PM,nondectime,measure,ART,0.00014095314920143347,1,56,15.437178837527897,0.00023661107057870704,0.1939511822316581,partial omega^2
PM,nondectime,interaction,ART,0.00014095314920143347,3,56,2.4647528101497147,0.07170287413466618,0.06823991047579635,partial omega^2
LD,drift,interrupt,mixed ANOVA,0.07050392316456779,3,56,3.602962131199918,0.018827860477845144,0.16178815389797066,partial eta^2
LD,drift,measure,mixed ANOVA,0.07050392316456779,1,56,0.06343753536197552,0.8020650941921038,0.0011315313179282368,partial eta^2
LD,drift,interaction,mixed ANOVA,0.07050392316456779,3,56,0.6607696262510281,0.5796515482724909,0.03418816734080552,partial eta^2
LD,noise,interrupt,mixed ANOVA,0.10716858931205775,3,56,0.9797205641255728,0.40891266447636065,0.04986772135846096,partial eta^2
LD,noise,measure,mixed ANOVA,0.10716858931205775,1,56,0.005054341207095662,0.9435763226190822,9.024794755670482e-05,partial eta^2
LD,noise,interaction,mixed ANOVA,0.10716858931205775,3,56,1.0300324353674661,0.3863531491915257,0.052294672829778455,partial eta^2
LD,bound,interrupt,ART,8.975900897928457e-10,3,56,0.6446304483099544,0.5895885532846283,-0.018089907704047357,partial omega^2
LD,bound,measure,ART,8.975900897928457e-10,1,56,1.442390135923886,0.23480819776192713,0.0073192032103467685,partial omega^2
LD,bound,interaction,ART,8.975900897928457e-10,3,56,0.926178530628969,0.4341878755045826,-0.0037047479654745813,partial omega^2
LD,nondectime,interrupt,ART,8.109350514848245e-09,3,56,1.513043525737622,0.22111008190672304,0.025010599967474775,partial omega^2
LD,nondectime,measure,ART,8.109350514848245e-09,1,56,0.8623297032374899,0.35707306525298016,-0.0022997818067722908,partial omega^2
LD,nondectime,interaction,ART,8.109350514848245e-09,3,56,0.6761050363961141,0.5703230523962395,-0.016461335361076662,partial omega^2
